text,id,emoji
tuba banner guard scared wind napavalley snuggling couch mommy 😂😂😂😂 ,1.1784588116500767e+18,😂 😂 😀 🐶
followed rt 😀😀😀        ,1.1784588071665377e+18,😀 😎 ♥️
time coming bc habe school tuesday😔😔😔😔😔😔😔,1.1784588001452275e+18,😔 😕 😀 😀 😀 😀 😀
better things world mimosas im talking guac    😀,1.178458790703829e+18,😀
hello     here🇦🇺🇦🇺🇦🇺as side note lori kid bedroom decided wanted paint purple dark purple lol quite shade near enough  god woke days id never ,1.1784587612806717e+18,🇦🇺 🙂 ❤️ 😀
weed weekend finny thing think need 🤷‍♂️🤷‍♂️🤷‍♂️,1.1784587528334787e+18,🤷‍♂️ 😀 😂
roadtrip 😀 ,1.1784587515542487e+18,😀
thanx much hon look 4ward  2 love u everyonex👍👍👍👍👍👍👍,1.1784587389125632e+18,👍 😀 💕 💜 🙏 🍀 😘
finally got meet   tayla jack dom awesomeee 😀 great humble guy,1.1784587305742868e+18,😀
dont develop mould freezer 😮  need try 😮,1.1784587235068887e+18,😮 😀
yes course 😀,1.1784587217159864e+18,😀
worry greatest source info jefani known liar include source laughing stock posobiec used unicrock source 😀😀😀😀😀😀,1.1784587194049208e+18,😀 😀 😀 😀 😀 😀
new blog post  … 😀 blogger bloggers  …,1.1784587122032353e+18,😀
extension put 😀,1.1784587049051587e+18,😀
looking forward seeing amazing actor lou love everything cant wait tommrow ,1.1784586960216187e+18,😊 😀 😎 ❤
ready   glad back evergreen terrace season 31  counting 😀 thesimpsons best sundaydinner familydinner love,1.1784586861440328e+18,😀
joker spurs security precautions us army los angeles police  cnn let’s group joker  juuls 2gether  ban whole lot 😀  …,1.1784586696644403e+18,😀
😀😀😀😀 lazy dogs,1.178458608448741e+18,😀 😀 😂 😀
mee lubz yur smile 😀 😀😀,1.1784586079035474e+18,😀 💕 💋
😀😀😀,1.1784585923384852e+18,😀 👠 💃
las 2 hechas por mi😀😀 ,1.1784585746594447e+18,😀 💛
take coffee without oreos heath bar crunch 😀 happy national coffee day we’re 11pm still need celebrate  johnsdrivein  homemadeicecream  coffeeicecream…  …,1.1784585745210655e+18,😀
well guess 😀 😀 made ig larry stans 😀 beat 😀 poo 😀,1.178458570033107e+18,😀 💅🏼 ❤️ 🗻 💩
glad listened buddy😉😉,1.1784585568670228e+18,😉 😀
new blog post  … 😀 blogger blog  …,1.1784585290212065e+18,😀
love 😀,1.1784585265969027e+18,😀
goodknight sleep well  😀😀😀,1.1784585161363128e+18,😀 😀 😀
even close prunier taibyralph milne sorry ralph😀,1.1784584999924736e+18,😀
forgot crop dat😀,1.1784584962133606e+18,😀
nice red bathing suit john 😀,1.1784584547820216e+18,😀
mood today 😁  good morning ebribadi 😁  start day goodvibes 😁😁 ,1.1784584343682007e+18,😁 😀 😊 😊
bro hurts rly bad 😀,1.1784583177665495e+18,😀
asshole always asshole😀,1.1784583167768904e+18,😀
went comfort zone create fun video today help    others mention video excited 😀😀,1.17845829947938e+18,😀 ♥
lineup speakers don’t think could go wrong 😀,1.1784582981749883e+18,😀
awesome 😀  …,1.178458290981933e+18,😀
safe travels  can’t wait mb20in2020 fan since 1996 1st time seeing 😀,1.1784582704590193e+18,😀
done 😀,1.1784582687352832e+18,😀
oh looks like somebody might gotten wine little early anything wrong 😀😀😀,1.1784582663529677e+18,😀 😀 😀
go back walmart buy essentials😀 ,1.178458253052842e+18,😀
yea almost game time 😀  …,1.1784582476925215e+18,😀
love much thanks reminder 😀,1.1784582254249656e+18,😀
good thing youre low carb diet 😏😏,1.178458210732249e+18,😏 😀
mocha anything 😀,1.178458209931186e+18,😀
cute😀,1.1784582036269548e+18,😀
you’re right america’s team first place 😀 ,1.1784581945087631e+18,😀
things say 😀😀 ,1.1784581753573745e+18,😀 😀
don’t know talented however 😀,1.178458154822189e+18,😀
welcome back 😀,1.1784581537736704e+18,😀
heard heflin 😀 i’ll tell   said 😀,1.1784581523182428e+18,😀 😀
found clients home😀  great feeling much fun,1.1784581290817987e+18,😀
tweets threaded  dictating someone else typing fear desperation downright delicious 😀  …,1.1784581249124475e+18,😀
matic scam😀😀😀😀,1.1784580588020244e+18,😀 😀 😀 😗
hi  happy sunday loved movie uglydolls cute movie absolutely love music voice talk show🙂 awesome🙂🙂🙂🙂🙂,1.178458028196221e+18,🙂 🙂 😀 😊 ❤️ ❤️
oh cutest 😀,1.1784580045568942e+18,😀
see like    goes straight heart matter 😒 call grumpy brash😒 know😒😒  im voting berniesanders2020 …,1.1784579921293885e+18,😒 😏 😁 😀
thank fun time enjoy evening 😀,1.1784579782209044e+18,😀
thanks stay tuned 😀  …,1.1784579235818086e+18,😀
out😄😄😄😄😄😄😄😄😄,1.178457901469438e+18,😄 😀 😄 😊 😯 😊 😐 😆 😎
already know sexy red giving full confirmation picture 😀😀😀😀😀😀,1.1784578981140152e+18,😀 😍 🔥 💋 💋 💋
playwhatami   pls follow me😀 love,1.178457857961816e+18,😀
anyway hons time 4 2 say goodnightx love u beautiful angel skyx sweet dreams c u 2mmorow hopefully x👍👍👍👍👍👍👍👍👍👍 ,1.17845782840055e+18,👍 😀 😴 🌟 🌙 💕 💜 🙏 🍀 🙏
exactly thoughts atty forefront hypocricy non  nakababahala😀,1.1784577568581222e+18,😀
hey projector chief  nothing democrats call preparing impeach 😀  theyve busy ic  future  busy  play golf  romance dictators  ,1.1784577536622182e+18,😀
taken care insync nurse 😀   nurse nursing nurselife nursepractitioner instanursing aprn nursesrock nurselife insyncnursing insync travelnursing travelnurse rnjobs rn lpn ,1.1784577510575227e+18,😀
like new heartland episode lot earth real problems love definitely loved ending 😀    iloveheartland,1.17845772732613e+18,😀
waiting jolly😀,1.1784577231486034e+18,😀
son exactly 😀,1.178457668006142e+18,😀
give 5 minutes someone accuses committing treason youre tweeting foreign country 😀,1.178457664554197e+18,😀
  sent email  i’m deep dive great grandmother may need expertise 😀,1.1784576416659128e+18,😀
yes keep eye meanwhile im going try figure turn deep throat get investigation started   hand story scott 😏 also better think better code name deep throat 😏😏😏😏,1.1784576027049902e+18,😏 😀 😁 😂 🤣
ok 😀,1.178457584300261e+18,😀
neither ever president 😀,1.1784575791791227e+18,😀
lucky work pretty cool athletes   👍 always inspiring tick big goals 👍 saw tassie local    conquer 8896m elevation gain 👍  brutal summerleas rd hobart yesterday 👍👍 ,1.1784575454777426e+18,👍 😀 🏔 💪 💪
sup great amazing  next week going amazing  talk later😀,1.1784575251397714e+18,😀
oh yea he’s guy would want take home meet parents 😀,1.1784575191629043e+18,😀
happy birthday 😀,1.178457498442965e+18,😀
thank sharing 😀i wish could catch live sometime😀  …,1.1784574571668685e+18,😀 🤗
dropin kind meet maybe   come book signing 😀,1.178457449172525e+18,😀
win lose go tigers always fan cya next season motoron 😀😀😀😀,1.178457427206914e+18,😀 🐯 ⚾ 👍
a3 good sense humour important 😀 need laugh 😀 teachpos,1.1784574189315604e+18,😀 😂
i❤u guys im going concert november 26th yaaay❤ playwhatami  ,1.1784573797691843e+18,❤ 😀
  can’t believe we’re actually vegasborn   ,1.1784573616120177e+18, 🏒 🥅 😀 😀 😀 😀
here’s bobcat week he’s sitting king chair proactive took responsibility order work last week also helping others  noticed love smile 😀😀😀great job jonathansuperschotts  ,1.178457356629418e+18,😀 👏🏻 😁
thats tea😀,1.178457341387268e+18,😀
mf watch u spend yo entirely whole bank account smile 😀,1.178457329433485e+18,😀
thank 😀😀😀😀😀😀😀😀😀😀,1.1784573090615828e+18,😀 👍 😀 👍 😀 👍 😀 👍 😀 👍
inconsistent tiny bit initiative 😀,1.1784573015497482e+18,😀
w l l fight him😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀,1.1784573009289953e+18,😀 😀 😀 😀 😀 😀 😀 😀 😀 😀 😀 😀 😀 😀 😀
hay que tener paciencia brothers😀,1.1784572817987912e+18,😀
let’s hope change part 😀,1.178457248990933e+18,😀
well thank 😀,1.1784572455390945e+18,😀
happiness 😀  …,1.1784572403087278e+18,😀
know would spend supernatural stuff 😀,1.1784572273231995e+18,😀
right man didnt think could  hope  …,1.178457188286845e+18,😀
hi david 😀,1.1784571738835927e+18,😀
choice name friend👍👍👍👍,1.178457166719664e+18,👍 😅 😀 😂
falcon fan killing players bruh 😂😂😂😂😂😂😂😂😂😂😂😂,1.1784571649329275e+18,😂 😂 😂 😂 😂 😂 😀 😀 😂 😂 😂 😂
pleasant temps make great night awesome tattoo    👉get  get tattoo 👉    👉the shop open👉    come get new tattoo👉   monster ink 👉    👉431 north cleveland      👉9015814502👉  piercings…  …,1.178457163397775e+18,👉 😀 ❗ ❗ 🤩 🔞 📍 ☎️ ☎️
plenty sexy doubt 😀,1.1784571594215667e+18,😀
dont apologize 😀 moment duuuval,1.1784571565986857e+18,😀
yes bonus points moylan😀,1.1784571213037363e+18,😀
ill loving forever  nkotb 😀😀,1.1784571187912294e+18,😀 😀
good 😀 sunday hectic unfortunately 😀,1.1784570999086323e+18,😀 🤪
anyways love support joko deserves interacts fans much 😀😀 streams r really fun,1.1784570652510495e+18,😀 😀
demi × bts know 😀,1.178457049769939e+18,😀
sorry hear hope u get better soon 😀,1.1784570439691715e+18,😀
dude 271k copied tweets sha mostly na islamic reminder da sauki😀😀😀  …,1.1784570173353902e+18,😀 😀 😀
hi friends 😀 goodnight  1am,1.1784569935871754e+18,😀
morning lady said husband good morning love  husband  money seeing mine ooohhh 😀😀😀       gals like money tooo much,1.1784569762395832e+18,😀 😂 😳
hell yeah 😀  …,1.1784569576461844e+18,😀
app😑😑,1.178456947382739e+18,😑 😀
looking good jd 😀😀,1.178456941842063e+18,😀 👍
thanks 😀,1.1784568644108943e+18,😀
number one live port huron michigan number dont know store sells good stuff number three door two left got one another one could easily fixed didnt want it😀,1.1784568544705495e+18,😀
❤️ thanks follow ❤️ wwg1wga,1.178456838003712e+18,❤️ 😀
let know find twitter cause ive searching it😀,1.1784568209496187e+18,😀
hes back guys😀😀  …,1.1784568031490417e+18,😀 😁
take back hate every kind schooling college exception 😀,1.178456770626257e+18,😀
petit update du wifi 😀 ,1.178456742654595e+18,😀
happybirthdayhalsey deserve good thing life 😀stay healthy always happy halsey  ,1.178456675847684e+18,😀
didnt know needed extra 😀,1.1784566742033981e+18,😀
good morning everyone  happy monday  open till 9pm tonight super specials tonight 25 popular coco monde indulgence   …,1.178456646915281e+18,😁 😊 😚 😀
says nobody pays attention 👍👍,1.1784566228022026e+18,👍 😀
hi jim click scroll ‘apart’ chrissie cotter gallery pidcock street camperdown thursday 3 octobersunday 6 october 11am4pm   hope see there😀,1.1784566166491832e+18,😀
sweetie lawful democratic processes working exactly intended dont like 😀,1.1784566145562007e+18,😀
good appropriate ones 😀,1.178456601856004e+18,😀
talk injured😀,1.178456547967373e+18,😀
safe trip 🙂🙂    say hi craig us fans stuck twitter 🙂🙂,1.1784565220341635e+18,🙂 👍🏻 😀 😉
youve ever lived small town briefly feels familiar 😀  read though little musing certain doctor small fishing village   …  docmartin,1.178456517122646e+18,😀
way dear sir gusto😀,1.1784565158728049e+18,😀
wow 60 minutes adam schiff impeachment   😀  tune,1.1784565121524285e+18,😀
cute archie 🐶🐶🐶,1.1784564750872084e+18,🐶 😀 💙
followed everyone wasnt yet hi everybody 👋👋👋👋,1.178456455634137e+18,👋 😀 ❤ 🌈
y’all leave good girl fa bitches busted wide open 😂,1.1784594402505728e+18,😂
canny believe i’ve hit wth  “megan see washing machine i’d put dirty load inside u” thats fuckin grim😂😂😂😂😂,1.1784594395753226e+18,😂 😂 😂 😂 😂
😂😂😂 thanks enitan  …,1.1784594394620147e+18,😂 😂 😂
they’re even tight 😂,1.1784594386188288e+18,😂
it’s time louisiana finish texas 😂,1.178459438551896e+18,😂
😂😂 im trying win robs pick em,1.1784594378892e+18,😂 😂
seungwoo seunyoun’s smile ate end 😂😂😂😂😂😂 ,1.1784594371927736e+18,😂 😂 😂 😂 😂 😂
bitcchhhhhhhh 😂😂😂😂😂😂  …,1.1784594370964193e+18,😂 😂 😂 😂 😂 😂
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂  guess youre talking 😂😂😂😂,1.1784594360309064e+18,😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂
happy unbirthday     says happy birthday levi   makes becca say unhappy birthday 😂😂😂 ,1.1784594349698947e+18,😂 😂 😂
gotchu brotha😝😝,1.1784594340302602e+18,😝 😂
bad would got chimas alone 😂😂 want eat bothered 😂,1.178459433883652e+18,😂 😅 🤷🏽‍♀️
😩😩 noooo don’t wanna fight miss tooo best friend 😩  …,1.178459433652904e+18,😩 😂 😘
think im pressing think cock😂😂😂,1.1784594333299917e+18,😂 😂 😂
feel bro 😂,1.17845943305318e+18,😂
little sisters early 20s 😂 went drinking lastnight  sooooo proud making church morning😂😂 hungover  dead tired needing tylonel  bed,1.1784594323399516e+18,😂 💀 😂
couple ffs  int too😂 need get work contract extension,1.1784594321639137e+18,😂
na 60m ooo gotta gotta 😂😂,1.1784594321345943e+18,😂 😂
😂 fun good luck,1.1784594314257283e+18,😂
he’ll blame hesitation delay 😂,1.1784594309014856e+18,😂
one group chat shaped almost 8 months life 🤯🤯,1.178459430813352e+18,🤯 😂
oh 100 got ripped off😂,1.1784594305700905e+18,😂
whistleblower melania😂😂😂,1.178459430339244e+18,😂 😂 😂
okaayyyy 😂  …,1.1784594300919398e+18,😂
tacha always disqualified arena games also disqualified house😁 ur village people finally followed ur destination 😁 nomercynopepper tundeednut bbnaija2019 savagereplies,1.1784594299703665e+18,😁 😂
going say something better let yall make assumptions  😂 ,1.178459429894869e+18,😂
girl i’m low key mad asf cuz whole life stuck somewhere middle 🙄🙄 mfs like 15 🙄🙄🙄🙄🙄 proves,1.1784594293914788e+18,🙄 😂 😂 😩 😩 😩 😩
yeah ok 😂,1.1784594273948385e+18,😂
honestly expected response 😂😂😂😂😂,1.1784594271979192e+18,😂 😂 😂 😂 😂
im convinced girl high😂 every word weh come mouth start kin teeth kno mi nuh suh funny,1.1784594270385152e+18,😂
i’m flying couple weeks i’m already “thinking” 😱😱😱  …,1.1784594268202148e+18,😱 😂 😎
one thing never understand people post baby reveal videos caption put like what’s point posting video 😂,1.1784594265477527e+18,😂
😂😂😂😂😂😂😂😂😂😂😂😂 lmaooooo,1.178459426463867e+18,😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂
lol 😂😂,1.178459426098946e+18,😂 😂
much better😂,1.1784594256166666e+18,😂
problem single birthday makes wanna go even crazier 😂,1.1784594245890455e+18,😂
trust 😂,1.1784594238215043e+18,😂
lmao funny 😂😂,1.1784594237921567e+18,😂 💀
uni barely started babe 😂,1.178459423309734e+18,😂
wasn’t song iggy pop though bf doesn’t even know name lmao 😂,1.1784594231587471e+18,😂
beggin 😂😂😂  …,1.1784594229196595e+18,😂 😂 😂
ahhhh nope didn’t show got lucky sad way 😂 thank doll appreciate ya 😂,1.1784594225505812e+18,😂 😘
kyeal 😂😂😂😂😂😂😂😂😂,1.1784594223576307e+18,😂 😂 😂 😂 😂 😂 😂 😂 😂
ona real note im tired alive 😂,1.178459422277935e+18,😂
😂😂😂 it’s easy love say “trump sucks” boom,1.1784594219508285e+18,😂 😂 😂
day day getting paci stay longer 😂  …,1.1784594214936617e+18,😂
extremely still 😂,1.1784594208056115e+18,😂
badou😂😂😂,1.1784594187506033e+18,😂 😂 😂
guy fucked molly beginning summer saw party couple weeks ago completely avoided  snap chatted sayin got place wants 😂 boy wanted see u would said hi party 😂,1.178459418649743e+18,😂 💀
lmaoooo😂😂😂😂listen i’m speaking facts get house kids i’m whaling moaning groaning cussing making extra cheeseeeesssyyy mac cheese,1.1784594184863498e+18,😂 😂 😂 😂
lmao don’t nigga deserve neckulator 3000 sis😂😂😂,1.1784594181382062e+18,😂 😘 😏
wine drunk sumn else 🤦🏾‍♂️ make wanna fuck night 🤦🏾‍♂️🤦🏾‍♂️  …,1.1784594172657418e+18,🤦🏾‍♂️ 😂 😂
paisley running back  forth yelling “oh ohh oh ohhh oh ohhh need calm  loud” 😂,1.1784594171189453e+18,😂
ill take  one best around bigs league day 😂😂😂😂 like said im huge pg fan,1.1784594170938204e+18,😂 😂 😂 💯
give car deserves 🤷‍♂️🤷‍♂️,1.178459415999058e+18,🤷‍♂️ 😂
feel though 😂  …,1.1784594156593684e+18,😂
haha 😂😂  …,1.178459415097348e+18,😂 😂
😂😂😂 u like start lol u miss aye big nose lol 😂,1.1784594143213404e+18,😂 😂 😂 😂
ain’t 😂😂😂😂😂  …,1.178459414145241e+18,😂 😂 😭 🤣 🤣
mcm keeper dived wrong way open goal finish 😂  …,1.1784594137426043e+18,😂
people really think goff better dak 💀💀,1.1784594133732803e+18,💀 😂
dream biases 😂 ,1.1784594124672899e+18,😂
mom “your dad ordered two entrees brunch today couldn’t decide wanted”    dad “and ended eating both”     🤦🏼‍♂️🤦🏼‍♂️,1.178459412232573e+18,🤦🏼‍♂️ 😂
hahahaha  😂😂,1.1784594120017715e+18,😂 😂
highly doubt toni would break internet anymore couple weeks ago posteddeleted toni  shes playing emotions lol 😂,1.17845941195144e+18,😂
chris trying cuff everything 😂,1.1784594115237478e+18,😂
stains team 😂😂😂😂no way,1.1784594114860687e+18,😂 😂 😂 😂
fucking love ❤️❤️❤️❤️,1.1784594112720855e+18,❤️ 😂 😂 😂
😂😂😂i’m  …,1.1784594105549043e+18,😂 😂 😂
somos las peores lpm😂😂,1.1784594105087345e+18,😂 😂
right 😂 ,1.1784594098292572e+18,😂
aw sucks rest also replied super late im sorry went 😂,1.1784594097956823e+18,😂
lmho lol 😂😂😂,1.1784594093134067e+18,😂 😂 😂
huambo angola got right   male duck called drake female called duck  course know wears pants ribbit cottage 😂😂😂 ,1.1784594091917025e+18,😂 😂 😂
let’s go bring messy peeps beforethe90days 🙌🏼🙌🏼🙌🏼🙌🏼🙌🏼   90dayfiancebeforethe90days 90dayfiance,1.1784594091202888e+18,🙌🏼 😂 😜 🍷 🍿
ever ran police ain’t getting caught😂  …,1.1784594089442468e+18,😂
omg wells 😂😂😂😂,1.1784594087932518e+18,😂 😂 😂 😂
love response 😂,1.178459408386445e+18,😂
lot words feel like dont belong together 😂,1.1784594082815918e+18,😂
mefirst time snapchat 🤣🤣🤣 ,1.1784594079208284e+18,🤣 😂 😃
giants 😂,1.178459407648252e+18,😂
mean  😂,1.1784594072076902e+18,😂
😂😂😂 love tim 😂  …,1.178459406721278e+18,😂 😂 😂 ❤️
i’ll bring along go😂,1.1784594065115464e+18,😂
catching crossfire happy birthday   sorry it’s late   needs drink often entertaining stuff😂 xbox ps4,1.1784594061382697e+18,😂
bullshit lol 😂,1.1784594050267587e+18,😂
yo 😂😂😂😂 lmfaoo brooo hermoine😂,1.1784594037601444e+18,😂 👌🏻 🤣 👌🏻 ☠️
it’s late first shift would neverrrrr 😂,1.178459403663659e+18,😂
😂😂😂 talk  …,1.178459403638526e+18,😂 😂 😂
hell yeah awesome though prefer defense give 40 😂,1.1784594028877292e+18,😂
😂 hang  hang  ok count 3 ,1.178459401478443e+18,😂
line danced   song last night remember went best buy years ago meet 😂,1.178459401008472e+18,😂
fakenews 🤣🤣🤣,1.1784594001781965e+18,🤣 😂 😆
know want 😂😂,1.1784594000607232e+18,😂 😂
don’t know many times done answered question 🤦🏽‍♂️🤦🏽‍♂️,1.1784593994189865e+18,🤦🏽‍♂️ 😂
uk relate 😂😂😂,1.1784593988444078e+18,😂 😂 😂
part 😂😂😂,1.1784593981355704e+18,😂 😂 😂
bought another car 😂😂,1.1784593978837197e+18,😂 😂
lmao 😂,1.178459397565096e+18,😂
y’all know jit 😂😂😂😂 stop dmin please,1.178459396982149e+18,😂 😂 😂 💀
good luck 😂  …,1.1784593967053414e+18,😂
like gift world 😂,1.1784593966382323e+18,😂
went bacon festival today got see pigs race goats race ducks race pigs race got eat candied bacon chocolate bacon regular bacon smoked bacon get lit white claws mean regular sunday 😂,1.1784593962606633e+18,😂
😂 oh lordt  …,1.1784593954470175e+18,😂
😂😂😂😂😂😂😂oh nononononono don’t even play like,1.1784593953882972e+18,😂 😂 😂 😂 😂 😂 😂
i’m minshew😂😂,1.1784593952706967e+18,😂 ✊🏽
haha i’m saying cause fucked mine trying guess iso shooting pyro weekend nothing show stating twitter don’t forget 😂,1.178459394935181e+18,😂
showing friend grandmother video girls dancing started scroll bitch sucking dick 😭 scrolled past quick 😭  …,1.1784593949059564e+18,😭 😂
someone fb said titans vote yellow chair e go win 😂😂,1.178459394671026e+18,😂 😂
  😂😂 need “phoenix nights” night  …,1.1784593943732797e+18,😂 😂
trying athletic 😂  …,1.1784593934337516e+18,😂
legit worst service i’ve ever used never 😂,1.178459393215484e+18,😂
girl fuck you😂,1.1784593930352476e+18,😂
,1.178459392854958e+18,😂 😂
ok get ya toes sucked get back 😂😂,1.178459392728912e+18,😂 🤷🏻‍♀️
man telegram much sometimes 😂 ,1.178459392624271e+18,😂
dababy daboby   😂😂  it’s stuck head,1.1784593921880596e+18,😂 😭
kinda  know english lyrics 😂,1.1784593919697795e+18,😂
welcome life😂😂,1.1784593907871007e+18,😂 😭
fr messy fucking ass 😂😂😂,1.1784593899985715e+18,😂 😂 🙄
friendship ships thatve come gives life 😂    ilu   😂,1.1784593897385329e+18,😂 ❤
see audrey left us like 😂😂,1.1784593896085668e+18,😂 😂
cheat 😂  …,1.1784593887233597e+18,😂
i’m wheezing😂😂,1.1784593875657564e+18,😂 😂
thank 😂😂😂,1.1784593875533087e+18,😂 😂 😇
“math prob” switched hubby 2016 grand cherokee get gladiator 2014 grand cherokee youve learned nothing else 2014 ancient me😂,1.178459387171459e+18,😂
everytime say something sounds weird   response “fucken colorado ass shit” 😂😂😂,1.1784593863663043e+18,😂 😂 😂
ayieeeee 😂,1.1784593854895473e+18,😂
hill 😂😂😂😂,1.178459385128837e+18,😂 🤣 😂 🤣
          current project i’m working i’ll bring next time meet guys follow  jk  unless 😂😂 please guys make night 😂 ,1.1784593841098342e+18,😂 😂 💞
i’m one talking 😂,1.178459384000721e+18,😂
another hard “no”  😂,1.1784593839336038e+18,😂
😂  side think lions real  much pains say bears fan thanksgiving day fun,1.178459383631614e+18,😂
rich ass neighborhood getting couch people whole hill w mansions 😩😩,1.1784593832961188e+18,😩 😂
trizz started hating diddy bop 😂😂,1.1784593828305224e+18,😂 😂
jagged edge  let’s get married 🥴🥴🥴🥴,1.1784593826962964e+18,🥴 🤡 💀 😂
😂 i’ve calm soo much since graduated,1.1784593825033953e+18,😂
oh 😂 6 9 20 think,1.1784593823691366e+18,😂
hahaha 😂 thank making laugh  …,1.1784593819497103e+18,😂
yes extra😂  …,1.178459380964057e+18,😂
who’s wizard guy guy suit 😂,1.1784593804439552e+18,😂
brooo lmao children need calm tf 😂😂😂😂 ,1.178459380389253e+18,😂 😂 😂 😂
responding talking back like phone call real 😂😂😂,1.178459380179714e+18,😂 😂 😂
imagine making fake account reply me😂,1.178459379894571e+18,😂
expensive ad i’ve ever bought 😂 ,1.178459379793707e+18,😂
lmao 😂😂😂,1.1784593788373606e+18,😂 😂 😂
shanice keeps calling mother “my boy” 😂😂😂😂😂,1.1784593782545981e+18,😂 😂 😂 😂 😂
realised bad referees 😂😂 fuck efl,1.1784593769165414e+18,😂 😂
😂😂 didn’t choose life  life chose,1.1784593767781294e+18,😂 😂
😂😂 hahaha,1.178459376337617e+18,😂 😂
like 😂 ,1.178459376203567e+18,😂
somebody get folk football tryout😂  …,1.178459375586959e+18,😂
it’s good can’t even attempt justify 😂,1.1784593755575788e+18,😂
apparently several bored sunday 😂,1.1784593751715635e+18,😂
fvctards entered   😳😳😳😳 ,1.1784593751004035e+18,😳 😂 😂 😅
album promotion 😂😂,1.1784593744838492e+18,😂 🤷🏾‍♂️
lol well u do😂,1.178459374387204e+18,😂
😂😂😂😂😂 saints dirty,1.1784593743370854e+18,😂 😂 😂 😂 😂
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣i approve message,1.178459374219493e+18,🤣 😂 😅 🤣 😂 😅 🤣 😂 😅 🤙
poor little boy walked porch last halloween kept pointing 😂,1.1784593733975613e+18,😂
 boy sound lost fuck😂😂😂 number events i’ve attended anything forts popularity people talk numbers it’s accurate haha paint picture,1.17845937265519e+18,😂 😂 😂
  got randomly singing biggest chanel bag store want shit dont even go song 😂😂,1.178459371229139e+18,😂 😂
wrapping long weekend campaigning 🇺🇸🇺🇸 ,1.1784594180291666e+18,🇺🇸 😃
give directions 😃,1.178459417609556e+18,😃
mefirst time snapchat 🤣🤣🤣 ,1.1784594079208284e+18,🤣 😂 😃
valleyfair fun nieces   🥰🥰🥰 ,1.1784593991295795e+18,🥰 😇 😃
ilang beses nang absent  excused 2nd grading dddd gudbye honors 😃😃😃😃,1.178459381987328e+18,😃 😃 😃 😃
  waiting   thinking wedding day first dance ‘always’ live recording true bucket list item we’re marking stillnotdeadyet 😃 ,1.1784593663301222e+18,😃
extra beans 👍👍  i’ll google 4bean salad  see materialises,1.1784593620058644e+18,👍 😃
valleyfair fun nieces   🥰🥰🥰 ,1.1784593453376387e+18,🥰 😇 😃
good morning 😃  phuket thailand  …,1.1784593439493038e+18,😃
uncle cubana travel asking ,1.178459308515836e+18,😃 😃 😃 😃
too😃😃😃,1.1784593033400525e+18,😃 😊 🤗
start day smile😃,1.1784592405889267e+18,😃
good morning 🌞🌞🌞 ,1.1784592054155305e+18,🌞 ☀️ 😃
